Date,Close,High,Low,Open,Volume
2019-10-01,593.3389282226562,602.7570064484128,593.3389282226562,598.0479673355345,32792900
2019-10-02,574.5028686523438,598.0480681872758,565.0847888383709,593.3390282802894,37878700
2019-10-03,569.7938232421875,574.5028631036931,565.0847833806818,569.7938232421875,19144800
2019-10-04,565.084716796875,574.5027954101563,565.084716796875,569.7937561035156,22245200
2019-10-07,569.7938232421875,569.7938232421875,565.0847833806818,569.7938232421875,17674500
2019-10-08,565.084716796875,574.5027954101563,565.084716796875,569.7937561035156,17876000
2019-10-09,565.084716796875,569.7937561035156,565.084716796875,569.7937561035156,16624600
2019-10-10,560.3756713867188,569.79374989742,560.3756713867188,569.79374989742,18469500
2019-10-11,565.084716796875,569.7937561035156,560.3756774902344,565.084716796875,18791300
2019-10-14,565.084716796875,569.7937561035156,560.3756774902344,565.084716796875,17953900
2019-10-15,565.084716796875,569.7937561035156,560.3756774902344,565.084716796875,18205600
2019-10-16,560.3756713867188,569.79374989742,560.3756713867188,565.0847106420694,10016900
2019-10-17,560.3756713867188,569.79374989742,560.3756713867188,560.3756713867188,7235100
2019-10-18,560.3756713867188,565.0847106420694,560.3756713867188,560.3756713867188,695900
2019-10-21,560.3756713867188,565.0847106420694,532.1214358546152,560.3756713867188,9522700
2019-10-22,565.084716796875,565.084716796875,555.6666381835937,560.3756774902344,8566400
2019-10-23,569.7938232421875,574.5028631036931,560.3757435191761,565.0847833806818,11187700
2019-10-24,635.7203979492188,663.9746378580729,569.7938381618924,569.7938381618924,23880800
2019-10-25,612.1751708984375,649.8474891075721,607.4661311222957,635.7203697791466,11394400
2019-10-28,612.1751708984375,631.0113300030048,602.7570913461539,612.1751708984375,12907100
2019-10-29,593.3389282226562,612.1750846741692,593.3389282226562,612.1750846741692,6833600
2019-10-30,607.4661254882812,621.5932446856832,588.6299665584121,593.3390062908794,9674900
2019-10-31,602.757080078125,621.5932388305664,602.757080078125,612.1751594543457,5743300
